Card Material,Card Type,Category,Cost,Description,Element,Job,Median,Name,Number,Power,Rarity,TCG,URL,set
Foil,Forward,FFCC,3,"If a Category FFCC Character you control deals damage to a Forward, the damage increases by 1000 instead.
When Chelinka enters the field, deal 1000 damage to all the Forwards opponent controls.
When Chelinka forms a party with Card Name Yuri and attacks, choose 1 Forward or Monster. Break it.",Wind,Girl,27.85,Chelinka,7-054L,7000,Legend,16.80,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/chelinka,Opus VII
Normal,Backup,V,2,[U][U][Dull]: Choose 1 Forward. Activate it.,Water,Standard Unit,0.11,Chemist,7-109C,,Common,0.07,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/chemist,Opus VII
Foil,Backup,V,2,[U][U][Dull]: Choose 1 Forward. Activate it.,Water,Standard Unit,0.25,Chemist,7-109C,,Common,0.38,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/chemist,Opus VII
Normal,Forward,World of Final Fantasy,2,"[Dull]: Choose 1 Forward other than Chocobo. It gains +3000 power until the end of the turn. When that Forward leaves the field this turn, put Chocobo into the Break Zone.",Wind,Standard Unit,0.25,Chocobo,7-055R,4000,Rare,0.22,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/chocobo,Opus VII
Foil,Forward,World of Final Fantasy,2,"[Dull]: Choose 1 Forward other than Chocobo. It gains +3000 power until the end of the turn. When that Forward leaves the field this turn, put Chocobo into the Break Zone.",Wind,Standard Unit,0.81,Chocobo,7-055R,4000,Rare,1.03,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/chocobo,Opus VII
Normal,Backup,V,6,"When Cid Previa enters the field, choose 1 Lightning Backup of cost 3 or less in your Break Zone. Play it onto the field.
[P][Dull], put Cid Previa into the Break Zone: Choose 1 Forward. Deal it 2000 damage.",Lightning,Inventor,0.40,Cid Previa,7-095H,,Hero,0.40,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/cid-previa,Opus VII
Foil,Backup,V,6,"When Cid Previa enters the field, choose 1 Lightning Backup of cost 3 or less in your Break Zone. Play it onto the field.
[P][Dull], put Cid Previa into the Break Zone: Choose 1 Forward. Deal it 2000 damage.",Lightning,Inventor,6.50,Cid Previa,7-095H,,Hero,1.56,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/cid-previa,Opus VII
Normal,Monster,Special,2,"Put Coeurl into the Break Zone: Choose 1 Forward. Until the end of turn, it gains +3000 power, Haste, First Strike and Brave.
Discard Coeurl: Choose 1 Monster of cost 1.",Lightning,Coeurl,0.15,Coeurl,7-089C,,Common,0.13,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/coeurl,Opus VII
Foil,Monster,Special,2,"Put Coeurl into the Break Zone: Choose 1 Forward. Until the end of turn, it gains +3000 power, Haste, First Strike and Brave.
Discard Coeurl: Choose 1 Monster of cost 1.",Lightning,Coeurl,1.47,Coeurl,7-089C,,Common,0.95,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/coeurl,Opus VII
Normal,Monster,X,4,"When a Backup enters your field, if you control 5 or more Backups, Condor also becomes a Forward with 8000 power and ""When Condor attacks, activate all the Wind Characters other than Condor you control"". (This effect does not end at the end of the turn. This ability will not trigger if Condor is a Forward.)",Wind,Bird,0.16,Condor,7-050R,8000,Rare,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/condor,Opus VII
Foil,Monster,X,4,"When a Backup enters your field, if you control 5 or more Backups, Condor also becomes a Forward with 8000 power and ""When Condor attacks, activate all the Wind Characters other than Condor you control"". (This effect does not end at the end of the turn. This ability will not trigger if Condor is a Forward.)",Wind,Bird,0.25,Condor,7-050R,8000,Rare,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/condor,Opus VII
Normal,Backup,FFCC,2,"The Card Name Galdes you control gains +1000 power.
When Cu Chaspel enters the field, your opponent selects 1 Forward he/she controls. Dull it and Freeze it.",Ice,Masked Man,0.25,Cu Chaspel,7-025H,,Hero,0.27,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/cu-chaspel,Opus VII
Foil,Backup,FFCC,2,"The Card Name Galdes you control gains +1000 power.
When Cu Chaspel enters the field, your opponent selects 1 Forward he/she controls. Dull it and Freeze it.",Ice,Masked Man,0.56,Cu Chaspel,7-025H,,Hero,0.61,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/cu-chaspel,Opus VII
Normal,Backup,V,3,[Dull]: Deal 1000 damage to all the Forwards opponent controls.,Wind,Standard Unit,0.12,Dancer,7-047C,,Common,0.07,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/dancer,Opus VII
Foil,Backup,V,3,[Dull]: Deal 1000 damage to all the Forwards opponent controls.,Wind,Standard Unit,0.25,Dancer,7-047C,,Common,0.00,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/dancer,Opus VII
Normal,Forward,V,4,"When a Backup enters your field, choose 1 Forward opponent controls. Remove it from the game for as long as Dorgann is on the field.",Wind,Dawn Warrior,0.25,Dorgann,7-056H,8000,Hero,0.22,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/dorgann,Opus VII
Foil,Forward,V,4,"When a Backup enters your field, choose 1 Forward opponent controls. Remove it from the game for as long as Dorgann is on the field.",Wind,Dawn Warrior,0.49,Dorgann,7-056H,8000,Hero,0.44,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/dorgann,Opus VII
Normal,Forward,V,2,"When Dragoon enters the field, choose 1 Forward. If the cost paid to play Dragoon included Wind CP, it cannot be blocked this turn.",Lightning,Standard Unit,0.11,Dragoon,7-105C,5000,Common,0.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/dragoon,Opus VII
Foil,Forward,V,2,"When Dragoon enters the field, choose 1 Forward. If the cost paid to play Dragoon included Wind CP, it cannot be blocked this turn.",Lightning,Standard Unit,0.27,Dragoon,7-105C,5000,Common,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/dragoon,Opus VII
Normal,Forward,FFL,3,"When Dusk enters the field, if you control a Job Warrior of Light Forward other than Dusk, draw 1 card.
[Dull]: During this turn, the cost required to cast your next summon is reduced by 1 (it cannot become 0).",Water,Warrior of Light,0.20,Dusk,7-115R,6000,Rare,0.13,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/dusk,Opus VII
Foil,Forward,FFL,3,"When Dusk enters the field, if you control a Job Warrior of Light Forward other than Dusk, draw 1 card.
[Dull]: During this turn, the cost required to cast your next summon is reduced by 1 (it cannot become 0).",Water,Warrior of Light,1.00,Dusk,7-115R,6000,Rare,1.00,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/dusk,Opus VII
Normal,Forward,FFL,5,"When a Job Bard Forward you control attacks, your opponent discards 1 card from his/her hand.",Ice,Bard,0.18,Eduardo,7-023R,8000,Rare,0.09,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/eduardo,Opus VII
Foil,Forward,FFL,5,"When a Job Bard Forward you control attacks, your opponent discards 1 card from his/her hand.",Ice,Bard,0.33,Eduardo,7-023R,8000,Rare,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/eduardo,Opus VII
Normal,Backup,FFL,2,"When Emperor (FFL) or a Category FFL Character enters your field, choose 1 Forward of cost 5 or more opponent controls. Dull it and Freeze it.",Ice,Emperor,0.25,Emperor (FFL),7-022H,,Hero,0.29,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/emperor-ffl,Opus VII
Foil,Backup,FFL,2,"When Emperor (FFL) or a Category FFL Character enters your field, choose 1 Forward of cost 5 or more opponent controls. Dull it and Freeze it.",Ice,Emperor,1.00,Emperor (FFL),7-022H,,Hero,0.54,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/emperor-ffl,Opus VII
Normal,Backup,V DFF,6,"When Exdeath enters the field, choose 1 Forward from either player's Break Zone. If its cost is equal to or less than the number of Backups you control, play it onto your field.",Lightning,Wizard,0.25,Exdeath,7-087R,,Rare,0.17,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/exdeath,Opus VII
Foil,Backup,V DFF,6,"When Exdeath enters the field, choose 1 Forward from either player's Break Zone. If its cost is equal to or less than the number of Backups you control, play it onto your field.",Lightning,Wizard,1.76,Exdeath,7-087R,,Rare,0.69,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/exdeath,Opus VII
Normal,Forward,XIII,3,"If you control 2 or more Category XIII Characters, Fang gains First Strike.
If you control 4 or more Category XIII Characters, Fang gains Haste.
If you control 6 or more Category XIII Characters, Fang gains +3000 power.",Fire,Commando,0.25,Fang,7-015R,7000,Rare,0.14,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/fang,Opus VII
Foil,Forward,XIII,3,"If you control 2 or more Category XIII Characters, Fang gains First Strike.
If you control 4 or more Category XIII Characters, Fang gains Haste.
If you control 6 or more Category XIII Characters, Fang gains +3000 power.",Fire,Commando,0.50,Fang,7-015R,7000,Rare,0.47,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/fang,Opus VII
Normal,Forward,V,4,"If you control a Card Name Lenna Forward, Faris gains +2000 power.
When Faris enters the field, reveal the top 5 cards of your deck. Add 1 Category V Character among them to your hand and return the other cards to the bottom of your deck in any order.",Water,Warrior of Light,0.25,Faris,7-120H,6000,Hero,0.24,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/faris,Opus VII
Foil,Forward,V,4,"If you control a Card Name Lenna Forward, Faris gains +2000 power.
When Faris enters the field, reveal the top 5 cards of your deck. Add 1 Category V Character among them to your hand and return the other cards to the bottom of your deck in any order.",Water,Warrior of Light,0.48,Faris,7-120H,6000,Hero,0.41,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/faris,Opus VII
Normal,Forward,II DFF,2,"EX BURST When Firion enters the field, choose 1 Forward opponent controls. Deal it 2000 damage for each Forward you control (up to 3 Forwards).",Fire,Warrior,2.50,Firion EX,7-132S,2000,Starter,2.38,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/firion-ex,Opus VII
Foil,Forward,II DFF,2,"EX BURST When Firion enters the field, choose 1 Forward opponent controls. Deal it 2000 damage for each Forward you control (up to 3 Forwards).",Fire,Warrior,4.00,Firion EX,7-132S,2000,Starter,3.73,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/firion-ex,Opus VII
Normal,Monster,Special,2,"Put Flan into the Break Zone: Choose 1 Forward. If your opponent doesn't pay (3), it cannot attack or block this turn.
Discard Flan: Choose 1 blocking Forward. It gains +1000 power until the end of the turn. You can only use this ability if Flan is in your hand.",Earth,Flan,0.15,Flan,7-081C,,Common,0.12,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/flan,Opus VII
Foil,Monster,Special,2,"Put Flan into the Break Zone: Choose 1 Forward. If your opponent doesn't pay (3), it cannot attack or block this turn.
Discard Flan: Choose 1 blocking Forward. It gains +1000 power until the end of the turn. You can only use this ability if Flan is in your hand.",Earth,Flan,0.28,Flan,7-081C,,Common,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/flan,Opus VII
Normal,Monster,XIII,2,"When a Forward of cost 3 or less opponent controls is put from the field into the Break Zone, Flanborg also becomes a Forward with 7000 power and ""If Flanborg is put from the field into the Break Zone, you may search for 1 Job Militarized Flan and add it to your hand."" (This effect does not end at the end of the turn. This ability will not trigger if Flanborg is a Forward.)",Lightning,Militarized Flan,0.15,Flanborg,7-098R,7000,Rare,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/flanborg,Opus VII
Foil,Monster,XIII,2,"When a Forward of cost 3 or less opponent controls is put from the field into the Break Zone, Flanborg also becomes a Forward with 7000 power and ""If Flanborg is put from the field into the Break Zone, you may search for 1 Job Militarized Flan and add it to your hand."" (This effect does not end at the end of the turn. This ability will not trigger if Flanborg is a Forward.)",Lightning,Militarized Flan,0.38,Flanborg,7-098R,7000,Rare,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/flanborg,Opus VII
Normal,Forward,World of Final Fantasy,2,"Fritt is also a Monster in all situations.
When Fritt is put from the field into the Break Zone, you may search for 1 Card name Ifrit and add it to your hand.",Fire,Ifrit,0.12,Fritt,7-004C,4000,Common,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/fritt,Opus VII
Foil,Forward,World of Final Fantasy,2,"Fritt is also a Monster in all situations.
When Fritt is put from the field into the Break Zone, you may search for 1 Card name Ifrit and add it to your hand.",Fire,Ifrit,4.04,Fritt,7-004C,4000,Common,2.51,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/fritt,Opus VII
Normal,Forward,FFCC,3,"When Galdes is put from the field into the Break Zone, select 1 of the 3 following actions.
""Your opponent randomly discards 1 card from his/her hand.""
""Choose 1 Monster in your Break Zone. Add it to your hand.""
""Choose 1 Forward. It loses 5000 power until the end of the turn.""",Dark,Archbishop,0.39,Galdes,7-129H,8000,Hero,0.34,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/galdes,Opus VII
Foil,Forward,FFCC,3,"When Galdes is put from the field into the Break Zone, select 1 of the 3 following actions.
""Your opponent randomly discards 1 card from his/her hand.""
""Choose 1 Monster in your Break Zone. Add it to your hand.""
""Choose 1 Forward. It loses 5000 power until the end of the turn.""",Dark,Archbishop,0.92,Galdes,7-129H,8000,Hero,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/galdes,Opus VII
Normal,Forward,V,5,"Galuf cannot be broken during your turn.
When Galuf attacks, choose 1 Forward. You may pay [Y][Y]. If you do so, it must block Galuf this turn if possible.
Stop [S]: Choose up to 2 Forwards. They cannot attack this turn.",Earth,Dawn Warrior,2.60,Galuf,7-067L,9000,Legend,2.03,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/galuf,Opus VII
Foil,Forward,V,5,"Galuf cannot be broken during your turn.
When Galuf attacks, choose 1 Forward. You may pay [Y][Y]. If you do so, it must block Galuf this turn if possible.
Stop [S]: Choose up to 2 Forwards. They cannot attack this turn.",Earth,Dawn Warrior,7.07,Galuf,7-067L,9000,Legend,3.82,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/galuf,Opus VII
Normal,Forward,I DFF,3,"When Garland blcoks, Garland gains +2000 power until the end of the turn.
When Garland is put from the field into the Break Zone, choose 1 Forward. It gains +4000 power until the end of the turn.",Lightning,Knight,0.20,Garland,7-137S,7000,Starter,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/garland,Opus VII
Foil,Forward,I DFF,3,"When Garland blcoks, Garland gains +2000 power until the end of the turn.
When Garland is put from the field into the Break Zone, choose 1 Forward. It gains +4000 power until the end of the turn.",Lightning,Knight,1.30,Garland,7-137S,7000,Starter,1.30,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/garland,Opus VII
Normal,Forward,FFL,3,Gawain doesn't receive any damage from Forwards' abilities.,Water,Knight,0.17,Gawain,7-107R,7000,Rare,0.07,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/gawain,Opus VII
Foil,Forward,FFL,3,Gawain doesn't receive any damage from Forwards' abilities.,Water,Knight,0.25,Gawain,7-107R,7000,Rare,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/gawain,Opus VII
Normal,Backup,V,2,"[Y][Dull], put Geomancer into the Break Zone: Choose 1 Forward. It gains +2000 power until the end of the turn.",Earth,Standard Unit,0.11,Geomancer,7-079C,,Common,0.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/geomancer,Opus VII
Foil,Backup,V,2,"[Y][Dull], put Geomancer into the Break Zone: Choose 1 Forward. It gains +2000 power until the end of the turn.",Earth,Standard Unit,0.25,Geomancer,7-079C,,Common,0.25,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/geomancer,Opus VII
Normal,Monster,X,2,"When a Forward opponent controls returns to its owner's and form the field, Geosgaeno also becomes a Forward with 7000 power and ""If Geosgaeno receives damage, the damage is reduced by 1000 instead"". (This effect does not end at the end of the turn. This ability will not trigger if Geosgaeno is a Forward.)",Water,Geosgaeno,0.18,Geosgaeno,7-111R,,Rare,0.13,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/geosgaeno,Opus VII
Foil,Monster,X,2,"When a Forward opponent controls returns to its owner's and form the field, Geosgaeno also becomes a Forward with 7000 power and ""If Geosgaeno receives damage, the damage is reduced by 1000 instead"". (This effect does not end at the end of the turn. This ability will not trigger if Geosgaeno is a Forward.)",Water,Geosgaeno,0.40,Geosgaeno,7-111R,,Rare,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/geosgaeno,Opus VII
Normal,Forward,V,2,"For each Card Name Gilgamesh in your Break Zone, Gilgamesh gains +1000 power. 
If Gilgamesh has 10000 power or more, Gilgamesh gains Brave and can attack twice in the same turn.
When Gilgamesh is put from the field into the Break Zone, you may pay (X). If you do, search for 1 Card Name Gilgamesh of cost X and play it onto the field dull.",Lightning,Praetorian,3.51,Gilgamesh,7-088L,4000,Legend,1.59,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/gilgamesh,Opus VII
Foil,Forward,V,2,"For each Card Name Gilgamesh in your Break Zone, Gilgamesh gains +1000 power. 
If Gilgamesh has 10000 power or more, Gilgamesh gains Brave and can attack twice in the same turn.
When Gilgamesh is put from the field into the Break Zone, you may pay (X). If you do, search for 1 Card Name Gilgamesh of cost X and play it onto the field dull.",Lightning,Praetorian,4.17,Gilgamesh,7-088L,4000,Legend,2.90,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/gilgamesh,Opus VII
Normal,Forward,V,4,"When your opponent casts a Summon, Gladiator gains +2000 power until the end of the turn.",Lightning,Standard Unit,0.11,Gladiator,7-090C,8000,Common,0.06,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/gladiator,Opus VII
Foil,Forward,V,4,"When your opponent casts a Summon, Gladiator gains +2000 power until the end of the turn.",Lightning,Standard Unit,0.25,Gladiator,7-090C,8000,Common,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/gladiator,Opus VII
Normal,Forward,FFCC,4,"EX BURST When Gnash enters the field, choose 1 Forward of cost 1 opponent controls or 1 Monster of cost 2 or less opponent controls. Break it.",Wind,Archer,0.17,Gnash EX,7-057R,7000,Rare,0.07,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/gnash-ex,Opus VII
Foil,Forward,FFCC,4,"EX BURST When Gnash enters the field, choose 1 Forward of cost 1 opponent controls or 1 Monster of cost 2 or less opponent controls. Break it.",Wind,Archer,0.25,Gnash EX,7-057R,7000,Rare,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/gnash-ex,Opus VII
Normal,Monster,Special,2,"Put Goblin into the Break Zone: Search for 1 Monster and add it to your hand.
Discard Goblin: Choose 1 dull Forward. Deal it 3000 damage. You can only use this ability if Goblin is in your hand.",Ice,Goblin,0.15,Goblin,7-030C,,Common,0.13,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/goblin,Opus VII
Foil,Monster,Special,2,"Put Goblin into the Break Zone: Search for 1 Monster and add it to your hand.
Discard Goblin: Choose 1 dull Forward. Deal it 3000 damage. You can only use this ability if Goblin is in your hand.",Ice,Goblin,0.25,Goblin,7-030C,,Common,0.75,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/goblin,Opus VII
Normal,Forward,IV DFF,8,"The cost required to play Golbez onto the field is reduced by 1 for every 5 cards in your Break Zone.
When Golbez enters the field, choose 1 Forward of cost 5 or less in your Break Zone. Add it to your hand.",Lightning,Warlock,0.25,Golbez,7-138S,9000,Starter,0.23,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/golbez,Opus VII
Foil,Forward,IV DFF,8,"The cost required to play Golbez onto the field is reduced by 1 for every 5 cards in your Break Zone.
When Golbez enters the field, choose 1 Forward of cost 5 or less in your Break Zone. Add it to your hand.",Lightning,Warlock,2.13,Golbez,7-138S,9000,Starter,3.67,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/golbez,Opus VII
Normal,Monster,XIII,2,"When your opponent discards a card from his/her hand due to your Summons or abilities, Gremlin also becomes a Forward with 7000 power and ""When Gremlin is put from the field into the Break Zone, choose 1 Forward opponent controls. Dull it and Freeze it"". (This effect does not end at the end of the turn. This ability will not trigger if Gremlin is a Forward.)",Ice,Spook,0.14,Gremlin,7-026R,7000,Rare,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/gremlin,Opus VII
Foil,Monster,XIII,2,"When your opponent discards a card from his/her hand due to your Summons or abilities, Gremlin also becomes a Forward with 7000 power and ""When Gremlin is put from the field into the Break Zone, choose 1 Forward opponent controls. Dull it and Freeze it"". (This effect does not end at the end of the turn. This ability will not trigger if Gremlin is a Forward.)",Ice,Spook,0.40,Gremlin,7-026R,7000,Rare,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/gremlin,Opus VII
Normal,Forward,V,3,"When Halicarnassus enters the field, all the Forwards opponent controls lose their abilities until the end of the turn.
[Dull], discard 2 Summons: Choose 1 Forward. Break it.",Water,Queen,0.49,Halicarnassus,7-119H,7000,Hero,0.38,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/halicarnassus,Opus VII
Foil,Forward,V,3,"When Halicarnassus enters the field, all the Forwards opponent controls lose their abilities until the end of the turn.
[Dull], discard 2 Summons: Choose 1 Forward. Break it.",Water,Queen,1.14,Halicarnassus,7-119H,7000,Hero,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/halicarnassus,Opus VII
Normal,Forward,XIII Pictlogica,3,"If you control a Job Father and a Job Mother, Hope gains +2000 power and ""Hope cannot be chosen by your opponent's abilities"".",Wind,Ravager,0.11,Hope,7-062R,7000,Rare,0.05,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/hope,Opus VII
Foil,Forward,XIII Pictlogica,3,"If you control a Job Father and a Job Mother, Hope gains +2000 power and ""Hope cannot be chosen by your opponent's abilities"".",Wind,Ravager,0.39,Hope,7-062R,7000,Rare,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/hope,Opus VII
Normal,Summon,DFF,4,"EX BURST Choose 1 Forward. Deal it 7000 damage. If Ifrit results from an EX Burst, deal it 8000 damage instead.",Fire,,0.21,Ifrit EX,7-005C,,Common,0.14,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/ifrit-ex,Opus VII
Foil,Summon,DFF,4,"EX BURST Choose 1 Forward. Deal it 7000 damage. If Ifrit results from an EX Burst, deal it 8000 damage instead.",Fire,,3.60,Ifrit EX,7-005C,,Common,1.00,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/ifrit-ex,Opus VII
Normal,Forward,X DFF,5,"If you have received 4 points of damage or more, the cost for playing Jecht onto the field is reduced by 4. 
When Jecht enters the field, if you have at least 2 points of damage more than your opponent, Jecht deals your opponent 1 point of damage.",Fire,Guardian,6.33,Jecht,7-010L,9000,Legend,3.99,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/jecht,Opus VII
Foil,Forward,X DFF,5,"If you have received 4 points of damage or more, the cost for playing Jecht onto the field is reduced by 4. 
When Jecht enters the field, if you have at least 2 points of damage more than your opponent, Jecht deals your opponent 1 point of damage.",Fire,Guardian,24.64,Jecht,7-010L,9000,Legend,7.76,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/jecht,Opus VII
Normal,Backup,XIII,4,"When Jihl Nabaat enters the field, select 1 of the 2 following actions.
""For each Job PSICOM you control, your opponent discards 1 card from his/her hand.
""Deal 4000 damage to all the dull Forwards opponent controls.",Ice,PSICOM,0.23,Jihl Nabaat,7-032R,,Rare,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/jihl-nabaat,Opus VII
Foil,Backup,XIII,4,"When Jihl Nabaat enters the field, select 1 of the 2 following actions.
""For each Job PSICOM you control, your opponent discards 1 card from his/her hand.
""Deal 4000 damage to all the dull Forwards opponent controls.",Ice,PSICOM,0.25,Jihl Nabaat,7-032R,,Rare,0.40,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/jihl-nabaat,Opus VII
Normal,Forward,VI DFF,5,"When Kefka enters the field, if the cost to play Kefka was only paid with Ice CP, your opponent may discard 2 cards. If he/she doesn't, Freeze all the Forwards opponent controls.
When Kefka enters hte field, if the cost to play Kefka was paid with Cp of exactly 3 different Elements, choose up to 1 Forward, up to 1 Back up and up to 1 Monster. Dull them and Freeze them.",Ice,Mage,0.26,Kefka,7-029H,8000,Hero,0.26,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/kefka,Opus VII
Foil,Forward,VI DFF,5,"When Kefka enters the field, if the cost to play Kefka was only paid with Ice CP, your opponent may discard 2 cards. If he/she doesn't, Freeze all the Forwards opponent controls.
When Kefka enters hte field, if the cost to play Kefka was paid with Cp of exactly 3 different Elements, choose up to 1 Forward, up to 1 Back up and up to 1 Monster. Dull them and Freeze them.",Ice,Mage,0.50,Kefka,7-029H,8000,Hero,0.33,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/kefka,Opus VII
Normal,Forward,V,6,"When Kelger enters the field, reveal the top 5 cards of your deck. Play 1 Job Dawn Warrior from among them onto the field and return the other cards to the bottom of your deck in any order.",Wind,Dawn Warrior,0.25,Kelger,7-049H,8000,Hero,0.19,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/kelger,Opus VII
Foil,Forward,V,6,"When Kelger enters the field, reveal the top 5 cards of your deck. Play 1 Job Dawn Warrior from among them onto the field and return the other cards to the bottom of your deck in any order.",Wind,Dawn Warrior,0.47,Kelger,7-049H,8000,Hero,0.60,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/kelger,Opus VII
Normal,Forward,X,6,"The cost required to play Kimahri onto the field is reduced by 1 for each Job Guardian you control. 
The Job Guardian other than Kimahri you control cannot be chosen by your opponent's abilities.
The Category X Characters other than Kimahri you control cannot be chosen by your opponent's Summons.",Water,Guardian,0.48,Kimahri,7-108H,9000,Hero,0.47,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/kimahri,Opus VII
Foil,Forward,X,6,"The cost required to play Kimahri onto the field is reduced by 1 for each Job Guardian you control. 
The Job Guardian other than Kimahri you control cannot be chosen by your opponent's abilities.
The Category X Characters other than Kimahri you control cannot be chosen by your opponent's Summons.",Water,Guardian,1.00,Kimahri,7-108H,9000,Hero,1.02,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/kimahri,Opus VII
Normal,Backup,FFCC,4,"When Kolka enters the field, you may search for 1 Earth Forward and add it to your hand.",Earth,King,0.18,Kolka,7-069C,,Common,0.14,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/kolka,Opus VII
Foil,Backup,FFCC,4,"When Kolka enters the field, you may search for 1 Earth Forward and add it to your hand.",Earth,King,N/A,Kolka,7-069C,,Common,0.51,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/kolka,Opus VII
Normal,Forward,V DFF,4,"The cost required to cast your Summons can be paid with CP of any Element.
When you cast a Summon, choose 1 Forward. It gains +1000 power until the end of the turn.
Discard 1 Summon: Until the end of the turn, Krile cannot be chosen by your opponent's abilities.",Earth,Warrior of Light,0.30,Krile,7-068H,8000,Hero,0.32,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/krile,Opus VII
Foil,Forward,V DFF,4,"The cost required to cast your Summons can be paid with CP of any Element.
When you cast a Summon, choose 1 Forward. It gains +1000 power until the end of the turn.
Discard 1 Summon: Until the end of the turn, Krile cannot be chosen by your opponent's abilities.",Earth,Warrior of Light,0.50,Krile,7-068H,8000,Hero,0.75,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/krile,Opus VII
